,height
1992,190.0
1993,206.0
1994,183.0
1995,206.0
1996,203.0
1997,196.0
1998,193.0
1999,188.0
2000,203.0
2001,208.0
2002,180.0
2003,211.0
2004,206.0
2005,188.0
2006,193.0
2007,216.0
2008,190.0
2009,193.0
2010,198.0
2011,196.0
2012,196.0
2013,201.0
2014,198.0
2015,203.0
2016,198.0
2017,193.0
2018,208.0
2019,198.0
2020,193.0
2021,190.0
2022,201.0
2023,206.0
2024,203.0
2025,196.0
2026,203.0
2027,203.0
2028,201.0
2029,185.0
2030,206.0
2031,216.0
2032,211.0
2033,203.0
2034,188.0
2035,203.0
2036,188.0
2037,208.0
2038,190.0
2039,203.0
2040,188.0
2041,206.0
2042,208.0
2043,198.0
2044,203.0
2045,188.0
2046,188.0
2047,208.0
2048,188.0
2049,201.0
2050,213.0
2051,203.0
2052,193.0
2053,203.0
2054,185.0
2055,198.0
2056,208.0
2057,203.0
2058,198.0
2059,211.0
2060,213.0
2061,198.0
2062,198.0
2063,208.0
2064,185.0
2065,206.0
2066,201.0
2067,196.0
2068,196.0
2069,208.0
2070,211.0
2071,196.0
2072,196.0
2073,196.0
2074,208.0
2075,213.0
2076,190.0
2077,180.0
2078,206.0
2079,206.0
2080,196.0
2081,203.0
2082,213.0
2083,211.0
2084,193.0
2085,185.0
2086,190.0
2087,203.0
2088,203.0
2089,206.0
2090,188.0
2091,208.0
2092,206.0
2093,208.0
2094,208.0
2095,218.0
2096,193.0
2097,201.0
2098,216.0
2099,193.0
2100,190.0
2101,190.0
2102,188.0
2103,206.0
2104,216.0
2105,203.0
2106,201.0
2107,201.0
2108,213.0
2109,203.0
2110,198.0
2111,206.0
2112,218.0
2113,206.0
2114,188.0
2115,208.0
2116,201.0
2117,196.0
2118,190.0
2119,190.0
2120,206.0
2121,183.0
2122,183.0
2123,203.0
2124,208.0
2125,196.0
2126,203.0
2127,180.0
2128,198.0
2129,190.0
2130,203.0
2131,185.0
2132,208.0
2133,208.0
2134,208.0
2135,183.0
2136,196.0
2137,211.0
2138,206.0
2139,211.0
